stage,best_epoch,best_psnr_sr_rgb_sh0,best_psnr_sr_rgb_sh3,best_psnr_sr_y_sh0,best_psnr_sr_y_sh3,best_ssim_sr_rgb_sh0,best_ssim_sr_rgb_sh3,train_loss_at_best,lr_at_best
s1_fp32,599,30.22626753667336,30.233168562284973,30.36580521416871,30.37373323952635,0.8608538120985031,0.8607951337099076,0.021900949794799,0.0
s2_fp32,808,30.34465519421803,30.33971711501398,30.48351777098545,30.478052313836034,0.864109668135643,0.8640078461170196,0.4822523134946823,6.25e-07
s3_qat,92,30.147746435825347,30.143663324723622,30.34179949451197,30.33742416531552,0.8588937926292419,0.8588120704889297,0.6742760093417018,5e-07
