time,stage,epoch,lr,train_loss,best_key,val_best,psnr_sr_rgb_sh0,psnr_sr_y_sh0,psnr_bi_rgb_sh0,psnr_bi_y_sh0,psnr_sr_rgb_sh3,psnr_sr_y_sh3,psnr_bi_rgb_sh3,psnr_bi_y_sh3,ssim_sr_rgb_sh0,ssim_bi_rgb_sh0,ssim_sr_rgb_sh3,ssim_bi_rgb_sh3,note
2026-03-10 13:57:41,s1_fp32,0,3.3333333333333335e-05,0.4330866318941116,psnr_sr_rgb_sh0,7.524559736594133,7.524559736594133,7.224300170401249,28.411482217395942,28.491558444822328,7.524648692364588,7.2241698406889565,28.40087791743983,28.480837463921624,0.06816528303548694,0.8190449512004853,0.06816321974620224,0.8187964862585068,val
2026-03-10 13:58:33,s1_fp32,1,5e-05,0.3447239252924919,psnr_sr_rgb_sh0,7.429157587825017,7.429157587825017,7.189375940068044,28.411482217395942,28.491558444822328,7.429569749044463,7.189378866078243,28.40087791743983,28.480837463921624,0.06812266381457448,0.8190449512004853,0.06813158197328448,0.8187964862585068,val
2026-03-10 13:59:28,s1_fp32,2,6.666666666666667e-05,0.22162144482135773,psnr_sr_rgb_sh0,7.471359695336495,7.471359695336495,7.3370525437309695,28.411482217395942,28.491558444822328,7.472136636611152,7.3378485659689705,28.40087791743983,28.480837463921624,0.07100547965615987,0.8190449512004853,0.0710460028797388,0.8187964862585068,val
2026-03-10 14:00:16,s1_fp32,3,8.333333333333333e-05,0.1051119627058506,psnr_sr_rgb_sh0,7.600700907639021,7.600700907639021,7.607734554722607,28.411482217395942,28.491558444822328,7.602149181416954,7.6099769440420015,28.40087791743983,28.480837463921624,0.07605781460180878,0.8190449512004853,0.07615116562694312,0.8187964862585068,val
2026-03-10 14:01:04,s1_fp32,4,0.0001,0.08318384602665901,psnr_sr_rgb_sh0,7.746604657425368,7.746604657425368,7.872247050177065,28.411482217395942,28.491558444822328,7.748674411921487,7.875810289312987,28.40087791743983,28.480837463921624,0.08031904930248857,0.8190449512004853,0.08045823032036424,0.8187964862585068,val
2026-03-10 14:01:50,s1_fp32,5,0.00011666666666666667,0.07523276418447494,psnr_sr_rgb_sh0,7.900783608084704,7.900783608084704,8.127087513739317,28.411482217395942,28.491558444822328,7.90346724167071,8.131928102016438,28.40087791743983,28.480837463921624,0.08452795682474971,0.8190449512004853,0.08471329824998974,0.8187964862585068,val
2026-03-10 14:02:39,s1_fp32,6,0.00013333333333333334,0.06629289478063584,psnr_sr_rgb_sh0,8.075014025982759,8.075014025982759,8.37583399062754,28.411482217395942,28.491558444822328,8.0784283784536,8.381901110374043,28.40087791743983,28.480837463921624,0.089050338473171,0.8190449512004853,0.08928808212280273,0.8187964862585068,val
2026-03-10 14:03:28,s1_fp32,7,0.00015,0.06014776572585106,psnr_sr_rgb_sh0,8.270083257649587,8.270083257649587,8.629334170308367,28.411482217395942,28.491558444822328,8.274336020576891,8.636626781029944,28.40087791743983,28.480837463921624,0.09406248766928911,0.8190449512004853,0.0943600152246654,0.8187964862585068,val
2026-03-10 14:04:17,s1_fp32,8,0.00016666666666666666,0.05540141567587852,psnr_sr_rgb_sh0,8.495885662607863,8.495885662607863,8.910480143204213,28.411482217395942,28.491558444822328,8.501198493444768,8.919253703612256,28.40087791743983,28.480837463921624,0.09990017784759403,0.8190449512004853,0.10026972439140082,0.8187964862585068,val
2026-03-10 14:05:03,s1_fp32,9,0.00018333333333333334,0.05251805268228054,psnr_sr_rgb_sh0,8.764423064187609,8.764423064187609,9.195127442853327,28.411482217395942,28.491558444822328,8.771153239844125,9.205418028955128,28.40087791743983,28.480837463921624,0.10726906469091774,0.8190449512004853,0.1077328628487885,0.8187964862585068,val
