time,stage,epoch,lr,train_loss,best_key,val_best,psnr_sr_rgb_sh0,psnr_sr_y_sh0,psnr_bi_rgb_sh0,psnr_bi_y_sh0,ssim_sr_rgb_sh0,ssim_bi_rgb_sh0,note
2026-03-12 00:16:28,s1_fp32,0,3.3333333333333335e-05,0.45190629720687864,psnr_sr_rgb_sh0,7.321335550071992,7.321335550071992,6.890911813481076,28.411482217395942,28.491558444822328,0.06096361957490444,0.8190449512004853,val
2026-03-12 00:17:11,s1_fp32,1,5e-05,0.3666318500041962,psnr_sr_rgb_sh0,7.179275378417242,7.179275378417242,6.850561655017653,28.411482217395942,28.491558444822328,0.06302520036697387,0.8190449512004853,val
2026-03-12 00:17:57,s1_fp32,2,6.666666666666667e-05,0.23581181436777116,psnr_sr_rgb_sh0,7.231544247609651,7.231544247609651,6.942711190791705,28.411482217395942,28.491558444822328,0.06763053957372904,0.8190449512004853,val
2026-03-12 00:18:41,s1_fp32,3,8.333333333333333e-05,0.11764403238892555,psnr_sr_rgb_sh0,7.323273572374675,7.323273572374675,7.063568437073549,28.411482217395942,28.491558444822328,0.07116177320480346,0.8190449512004853,val
2026-03-12 00:19:24,s1_fp32,4,0.0001,0.09180267944931984,psnr_sr_rgb_sh0,7.435486927473177,7.435486927473177,7.18657090728915,28.411482217395942,28.491558444822328,0.07490562060847879,0.8190449512004853,val
2026-03-12 00:20:08,s1_fp32,5,0.00011666666666666667,0.08250895515084267,psnr_sr_rgb_sh0,7.57639747698833,7.57639747698833,7.325618305721744,28.411482217395942,28.491558444822328,0.07961160156875849,0.8190449512004853,val
2026-03-12 00:20:52,s1_fp32,6,0.00013333333333333334,0.0737379938364029,psnr_sr_rgb_sh0,7.758350253368297,7.758350253368297,7.505166442404872,28.411482217395942,28.491558444822328,0.08574300324544311,0.8190449512004853,val
2026-03-12 00:21:36,s1_fp32,7,0.00015,0.062221448197960855,psnr_sr_rgb_sh0,7.984079874449082,7.984079874449082,7.728732832630239,28.411482217395942,28.491558444822328,0.09317679328843952,0.8190449512004853,val
2026-03-12 00:22:19,s1_fp32,8,0.00016666666666666666,0.056703319549560545,psnr_sr_rgb_sh0,8.227165983506033,8.227165983506033,8.019088691736133,28.411482217395942,28.491558444822328,0.1011738482862711,0.8190449512004853,val
2026-03-12 00:23:01,s1_fp32,9,0.00018333333333333334,0.053701882734894756,psnr_sr_rgb_sh0,8.485563798400218,8.485563798400218,8.354269489962817,28.411482217395942,28.491558444822328,0.10977362412959338,0.8190449512004853,val
